"","SchoolID","SchoolName"
"837",610124,"WASHINGTON H ES"
"838",610125,"RUIZ"
"839",610126,"PERSHING"
"840",610127,"PETERSON"
"841",610128,"GARVEY"
"842",610129,"PICKARD"
"843",610130,"PIRIE"
"844",610131,"PLAMONDON"
"845",610132,"POE"
"846",610133,"WARD L"
"847",610135,"PORTAGE PARK"
"848",610136,"PRESCOTT"
"849",610137,"PRUSSING"
"850",610138,"PULASKI"
"851",610139,"PULLMAN"
"852",610141,"RAVENSWOOD"
"853",610142,"RAY"
"854",610143,"REAVIS"
"855",610144,"REILLY"
"856",610145,"REINBERG"
"857",610146,"REVERE"
"858",610147,"ROGERS"
"859",610148,"CHAVEZ"
"860",610152,"RUGGLES"
"861",610153,"RYDER"
"862",610155,"SAUGANASH"
"863",610157,"SAWYER"
"864",610158,"SAYRE"
"865",610159,"SCAMMON"
"866",610163,"STOCK"
"867",610165,"SCHUBERT"
"868",610167,"SEWARD"
"869",610170,"COLUMBIA EXPLORERS"
"870",610171,"MIRELES"
"871",610172,"SHERMAN"
"872",610173,"SHERWOOD"
"873",610174,"SHIELDS"
"874",610175,"SHOESMITH"
"875",610176,"SHOOP"
"876",610177,"SKINNER"
"877",610178,"SCHMID"
"878",610179,"SMYSER"
"879",610180,"SMYTH"
"880",610182,"SOLOMON"
"881",610183,"SPENCER"
"882",610184,"SPRY ES"
"883",610185,"STEVENSON"
"884",610188,"DUNNE"
"885",610191,"STONE"
"886",610192,"STOWE"
"887",610193,"NEW SULLIVAN"
"888",610194,"SUMNER"
"889",610195,"SUTHERLAND"
"890",610196,"SWIFT"
"891",610197,"TALCOTT"
"892",610198,"TAYLOR"
"893",610199,"COLEMON"
"894",610200,"THORP J"
"895",610201,"THORP O"
"896",610202,"TILTON"
"897",610203,"TONTI"
"898",610206,"TWAIN"
"899",610207,"VANDERPOEL"
"900",610208,"LAVIZZO"
"901",610209,"VOLTA"
"902",610212,"ALBANY PARK"
"903",610213,"WADSWORTH"
"904",610215,"MADERO"
"905",610216,"WALSH"
"906",610217,"WARD J"
"907",610218,"WARREN"
"908",610219,"WASHINGTON G ES"
"909",610220,"WATERS"
"910",610221,"WEBSTER"
"911",610223,"WENTWORTH"
"912",610225,"WHISTLER"
"913",610226,"SANDOVAL"
"914",610227,"WHITNEY"
"915",610228,"WHITTIER"
"916",610229,"PRITZKER"
